id,transaction_type,date_run
09FLRYnePKcUwGDDPIOAkg,delivery,2022-08-16 00:00:00
09FLRYnePKcUwGDDPIOAkg,pickup,2022-08-16 00:00:00
kRB2D1ThBwsNZICZHQDnmA,restaurant_reservation,2022-08-16 00:00:00
kRB2D1ThBwsNZICZHQDnmA,delivery,2022-08-16 00:00:00
lkplVF1__QuD6tKWg0SVLQ,delivery,2022-08-16 00:00:00
nUkPOJ5p4E9U7e2DbOzzMw,delivery,2022-08-16 00:00:00
nUkPOJ5p4E9U7e2DbOzzMw,pickup,2022-08-16 00:00:00
-ofDNmj8r_F875FiZr9G8w,delivery,2022-08-16 00:00:00
-ofDNmj8r_F875FiZr9G8w,pickup,2022-08-16 00:00:00
OjX2LacSZd_w2Olmx55HJA,delivery,2022-08-16 00:00:00
OjX2LacSZd_w2Olmx55HJA,pickup,2022-08-16 00:00:00
Q_xYu-RqixW4O-TlEbc1fA,delivery,2022-08-16 00:00:00
EQHHYlJhWa7zs2Tkmx_s5A,delivery,2022-08-16 00:00:00
U0pca9y7PFXIUiUeKn1sWw,delivery,2022-08-16 00:00:00
U0pca9y7PFXIUiUeKn1sWw,pickup,2022-08-16 00:00:00
UMWigSBp30eQtgMdW3h5Rg,delivery,2022-08-16 00:00:00
UMWigSBp30eQtgMdW3h5Rg,pickup,2022-08-16 00:00:00
Lk7UrSA-vlkRI-m_z6UUOQ,delivery,2022-08-16 00:00:00
BQhcvUAbrqzsLsew1STD-w,delivery,2022-08-16 00:00:00
BQhcvUAbrqzsLsew1STD-w,pickup,2022-08-16 00:00:00
orqdI_NDAdHuLNAMLhHrIg,delivery,2022-08-16 00:00:00
orqdI_NDAdHuLNAMLhHrIg,pickup,2022-08-16 00:00:00
vHfJiTfxHdpDg2l6aT1R5g,delivery,2022-08-16 00:00:00
p1TOF1XkXzLx3a-LF3lDlw,delivery,2022-08-16 00:00:00
eMFDae6rv9ARp3t0xb6FPg,delivery,2022-08-16 00:00:00
r2VHe6U8rfqo9xUFHLwwkg,delivery,2022-08-16 00:00:00
XoLfRZ0jA8cf_MYL90OgEA,delivery,2022-08-16 00:00:00
ClAQfNyMp_EuTks0fz-KXg,pickup,2022-08-16 00:00:00
ClAQfNyMp_EuTks0fz-KXg,delivery,2022-08-16 00:00:00
ElUusJtZDE4QL0cohv3-_w,delivery,2022-08-16 00:00:00
FbR3hCxZI8HPeukE7c-ZJA,pickup,2022-08-16 00:00:00
FbR3hCxZI8HPeukE7c-ZJA,delivery,2022-08-16 00:00:00
yUWE1S7cYMFVp2PqCX5p8g,pickup,2022-08-16 00:00:00
yUWE1S7cYMFVp2PqCX5p8g,delivery,2022-08-16 00:00:00
IsvlaFF0EPEhh3ahTuC4xg,delivery,2022-08-16 00:00:00
-Ym-Y_Pd_D7NbHrpEuDfBg,delivery,2022-08-16 00:00:00
m7_Q-ap4MmrYs2qc4X7PyQ,pickup,2022-08-16 00:00:00
m7_Q-ap4MmrYs2qc4X7PyQ,delivery,2022-08-16 00:00:00
Y-OgQKqreMaajTUCPbLPKg,pickup,2022-08-16 00:00:00
Y-OgQKqreMaajTUCPbLPKg,delivery,2022-08-16 00:00:00
4nNopnnahgbaa6tOiYqCzg,delivery,2022-08-16 00:00:00
Hu_9NcC3cmgKWI_h64TKRA,pickup,2022-08-16 00:00:00
Hu_9NcC3cmgKWI_h64TKRA,delivery,2022-08-16 00:00:00
NCDpIDp2f-DhPO5sL5Hbdw,pickup,2022-08-16 00:00:00
NCDpIDp2f-DhPO5sL5Hbdw,delivery,2022-08-16 00:00:00
0v-RKxYMejB30CVDjU15_g,delivery,2022-08-16 00:00:00
