id,title,alias,date_run
2FS5eBVcFJ_W461ylUs38Q,Asian Fusion,asianfusion,2022-08-16 00:00:00
Cww8Q7tpjkikNXKijj5Q-w,Japanese,japanese,2022-08-16 00:00:00
UaszJCXczQ-djWsQ0ylVAA,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
UaszJCXczQ-djWsQ0ylVAA,American (New),newamerican,2022-08-16 00:00:00
g5bU0YUu7kABbhXGUNfziQ,American (New),newamerican,2022-08-16 00:00:00
g5bU0YUu7kABbhXGUNfziQ,Lounges,lounges,2022-08-16 00:00:00
g5bU0YUu7kABbhXGUNfziQ,Seafood,seafood,2022-08-16 00:00:00
x8BFKHu7ajvXLOA0_33bbg,Brewpubs,brewpubs,2022-08-16 00:00:00
x8BFKHu7ajvXLOA0_33bbg,Seafood,seafood,2022-08-16 00:00:00
x8BFKHu7ajvXLOA0_33bbg,Burgers,burgers,2022-08-16 00:00:00
OJPoB_CL1BYwsUQt7s4lcQ,Seafood,seafood,2022-08-16 00:00:00
OJPoB_CL1BYwsUQt7s4lcQ,Sandwiches,sandwiches,2022-08-16 00:00:00
9OXEAAPONxcA2PQO75fnJQ,Seafood,seafood,2022-08-16 00:00:00
9OXEAAPONxcA2PQO75fnJQ,Tapas/Small Plates,tapasmallplates,2022-08-16 00:00:00
o6NnFJwKAHbJQ3NtsV8nCA,Soul Food,soulfood,2022-08-16 00:00:00
o6NnFJwKAHbJQ3NtsV8nCA,Soup,soup,2022-08-16 00:00:00
o6NnFJwKAHbJQ3NtsV8nCA,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
uHsLwMmgNXimHu1yz3htkg,American (New),newamerican,2022-08-16 00:00:00
uHsLwMmgNXimHu1yz3htkg,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
uHsLwMmgNXimHu1yz3htkg,Breakfast & Brunch,breakfast_brunch,2022-08-16 00:00:00
ZCtSkAulGzhWd1o0oWbYgQ,Taiwanese,taiwanese,2022-08-16 00:00:00
ZCtSkAulGzhWd1o0oWbYgQ,Shanghainese,shanghainese,2022-08-16 00:00:00
ZCtSkAulGzhWd1o0oWbYgQ,Dim Sum,dimsum,2022-08-16 00:00:00
sYEkNB9SPULlc_c8490_Dg,Italian,italian,2022-08-16 00:00:00
sYEkNB9SPULlc_c8490_Dg,Pasta Shops,pastashops,2022-08-16 00:00:00
X6rUPbk-s908w5_5t1bmZQ,Japanese,japanese,2022-08-16 00:00:00
bBDeZ3QkljIbPPeQ__Xq-w,Thai,thai,2022-08-16 00:00:00
bBDeZ3QkljIbPPeQ__Xq-w,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
1SZoOxG9LH60pDITDNn0sw,American (New),newamerican,2022-08-16 00:00:00
1SZoOxG9LH60pDITDNn0sw,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
B9QnfF7SF5aYoph_ijDObQ,Mexican,mexican,2022-08-16 00:00:00
B9QnfF7SF5aYoph_ijDObQ,Steakhouses,steak,2022-08-16 00:00:00
_aLHbaIPEO0mb3KzDkRLZw,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
_aLHbaIPEO0mb3KzDkRLZw,Venues & Event Spaces,venues,2022-08-16 00:00:00
_aLHbaIPEO0mb3KzDkRLZw,American (New),newamerican,2022-08-16 00:00:00
Wk9f5Zpnu4T6Vzf6CF5iuA,Caribbean,caribbean,2022-08-16 00:00:00
Wk9f5Zpnu4T6Vzf6CF5iuA,Cuban,cuban,2022-08-16 00:00:00
Wk9f5Zpnu4T6Vzf6CF5iuA,Sandwiches,sandwiches,2022-08-16 00:00:00
oq5KCmPFKV28BnB4hjpo_g,Greek,greek,2022-08-16 00:00:00
oq5KCmPFKV28BnB4hjpo_g,Breakfast & Brunch,breakfast_brunch,2022-08-16 00:00:00
6I28wDuMBR5WLMqfKxaoeg,Seafood,seafood,2022-08-16 00:00:00
6I28wDuMBR5WLMqfKxaoeg,Soup,soup,2022-08-16 00:00:00
TiLZFYuHRp0AQNVrSOiSpQ,Italian,italian,2022-08-16 00:00:00
c-VPsoYq4iVgjvd1lU3utA,American (New),newamerican,2022-08-16 00:00:00
c-VPsoYq4iVgjvd1lU3utA,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
E-jn0cQLsPkcrUjXK8YDxw,Seafood,seafood,2022-08-16 00:00:00
E-jn0cQLsPkcrUjXK8YDxw,Coffee & Tea,coffee,2022-08-16 00:00:00
OAefcMo0Oq2eSoK2F0ZCOg,Sushi Bars,sushi,2022-08-16 00:00:00
OAefcMo0Oq2eSoK2F0ZCOg,Asian Fusion,asianfusion,2022-08-16 00:00:00
UOLK-I_siuXhY_s4_9YCnw,Noodles,noodles,2022-08-16 00:00:00
UOLK-I_siuXhY_s4_9YCnw,Cambodian,cambodian,2022-08-16 00:00:00
qizc9flTWmpxLFey-1BLUg,Italian,italian,2022-08-16 00:00:00
ElzS9k2liA5twi25T2XSXQ,American (New),newamerican,2022-08-16 00:00:00
ElzS9k2liA5twi25T2XSXQ,Seafood,seafood,2022-08-16 00:00:00
ElzS9k2liA5twi25T2XSXQ,Live/Raw Food,raw_food,2022-08-16 00:00:00
6AY7UJnznddGbrccPDvuNw,American (New),newamerican,2022-08-16 00:00:00
6AY7UJnznddGbrccPDvuNw,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
6AY7UJnznddGbrccPDvuNw,Breakfast & Brunch,breakfast_brunch,2022-08-16 00:00:00
EpnbCoCjOsSOFzU647rfhg,Korean,korean,2022-08-16 00:00:00
EpnbCoCjOsSOFzU647rfhg,Bars,bars,2022-08-16 00:00:00
bB9mbLCKSvXltK8za8nK0A,American (New),newamerican,2022-08-16 00:00:00
bB9mbLCKSvXltK8za8nK0A,Bars,bars,2022-08-16 00:00:00
zoaoqW4b2a5O4DE9LS45ow,Seafood,seafood,2022-08-16 00:00:00
zoaoqW4b2a5O4DE9LS45ow,American (New),newamerican,2022-08-16 00:00:00
zoaoqW4b2a5O4DE9LS45ow,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
IWZNSvdNJVfXMePsNTk4JQ,Seafood,seafood,2022-08-16 00:00:00
IWZNSvdNJVfXMePsNTk4JQ,Venues & Event Spaces,venues,2022-08-16 00:00:00
IWZNSvdNJVfXMePsNTk4JQ,American (New),newamerican,2022-08-16 00:00:00
Aj1oSIHJwbteXYfYquzUOA,Bars,bars,2022-08-16 00:00:00
Aj1oSIHJwbteXYfYquzUOA,Thai,thai,2022-08-16 00:00:00
Aj1oSIHJwbteXYfYquzUOA,Tapas/Small Plates,tapasmallplates,2022-08-16 00:00:00
XE0C4z-DByNlXZ2IUtouhA,Bars,bars,2022-08-16 00:00:00
XE0C4z-DByNlXZ2IUtouhA,Noodles,noodles,2022-08-16 00:00:00
XE0C4z-DByNlXZ2IUtouhA,Asian Fusion,asianfusion,2022-08-16 00:00:00
vLkiMZl96vJvkMaXtUEr2g,Breakfast & Brunch,breakfast_brunch,2022-08-16 00:00:00
vLkiMZl96vJvkMaXtUEr2g,Georgian,georgian,2022-08-16 00:00:00
vLkiMZl96vJvkMaXtUEr2g,Cafes,cafes,2022-08-16 00:00:00
LwsjLSWvoo8fC_wL-DdcVQ,Sports Clubs,sports_clubs,2022-08-16 00:00:00
LwsjLSWvoo8fC_wL-DdcVQ,American (Traditional),tradamerican,2022-08-16 00:00:00
LwsjLSWvoo8fC_wL-DdcVQ,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
tC9DRmULoje1qk0dB3EDAQ,Japanese,japanese,2022-08-16 00:00:00
tC9DRmULoje1qk0dB3EDAQ,Noodles,noodles,2022-08-16 00:00:00
NxwrJPJLzTs0k0DQ-QCo1A,Bakeries,bakeries,2022-08-16 00:00:00
NxwrJPJLzTs0k0DQ-QCo1A,Russian,russian,2022-08-16 00:00:00
FpPLP2IhldU1dLbHx3-23g,American (New),newamerican,2022-08-16 00:00:00
FpPLP2IhldU1dLbHx3-23g,Steakhouses,steak,2022-08-16 00:00:00
pHmG74puAbpCxD8aQRNDKg,American (New),newamerican,2022-08-16 00:00:00
pHmG74puAbpCxD8aQRNDKg,Bars,bars,2022-08-16 00:00:00
pHmG74puAbpCxD8aQRNDKg,Burgers,burgers,2022-08-16 00:00:00
09FLRYnePKcUwGDDPIOAkg,Breakfast & Brunch,breakfast_brunch,2022-08-16 00:00:00
09FLRYnePKcUwGDDPIOAkg,Coffee & Tea,coffee,2022-08-16 00:00:00
09FLRYnePKcUwGDDPIOAkg,Southern,southern,2022-08-16 00:00:00
ngmgbNUMBO576sbYiH5v0w,Italian,italian,2022-08-16 00:00:00
kRB2D1ThBwsNZICZHQDnmA,Hot Pot,hotpot,2022-08-16 00:00:00
kRB2D1ThBwsNZICZHQDnmA,Seafood,seafood,2022-08-16 00:00:00
kRB2D1ThBwsNZICZHQDnmA,Asian Fusion,asianfusion,2022-08-16 00:00:00
lkplVF1__QuD6tKWg0SVLQ,Mediterranean,mediterranean,2022-08-16 00:00:00
lkplVF1__QuD6tKWg0SVLQ,Middle Eastern,mideastern,2022-08-16 00:00:00
nUkPOJ5p4E9U7e2DbOzzMw,Barbeque,bbq,2022-08-16 00:00:00
nUkPOJ5p4E9U7e2DbOzzMw,Korean,korean,2022-08-16 00:00:00
-ofDNmj8r_F875FiZr9G8w,Southern,southern,2022-08-16 00:00:00
-ofDNmj8r_F875FiZr9G8w,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
OjX2LacSZd_w2Olmx55HJA,Barbeque,bbq,2022-08-16 00:00:00
OjX2LacSZd_w2Olmx55HJA,Dim Sum,dimsum,2022-08-16 00:00:00
OjX2LacSZd_w2Olmx55HJA,Cantonese,cantonese,2022-08-16 00:00:00
Q_xYu-RqixW4O-TlEbc1fA,Italian,italian,2022-08-16 00:00:00
Q_xYu-RqixW4O-TlEbc1fA,Pizza,pizza,2022-08-16 00:00:00
EQHHYlJhWa7zs2Tkmx_s5A,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
EQHHYlJhWa7zs2Tkmx_s5A,Spanish,spanish,2022-08-16 00:00:00
EQHHYlJhWa7zs2Tkmx_s5A,Portuguese,portuguese,2022-08-16 00:00:00
U0pca9y7PFXIUiUeKn1sWw,Korean,korean,2022-08-16 00:00:00
U0pca9y7PFXIUiUeKn1sWw,Barbeque,bbq,2022-08-16 00:00:00
UMWigSBp30eQtgMdW3h5Rg,Asian Fusion,asianfusion,2022-08-16 00:00:00
UMWigSBp30eQtgMdW3h5Rg,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
UMWigSBp30eQtgMdW3h5Rg,Italian,italian,2022-08-16 00:00:00
Lk7UrSA-vlkRI-m_z6UUOQ,French,french,2022-08-16 00:00:00
Lk7UrSA-vlkRI-m_z6UUOQ,"Beer, Wine & Spirits",beer_and_wine,2022-08-16 00:00:00
BQhcvUAbrqzsLsew1STD-w,Breakfast & Brunch,breakfast_brunch,2022-08-16 00:00:00
BQhcvUAbrqzsLsew1STD-w,American (New),newamerican,2022-08-16 00:00:00
9WOJwV28OsUPcxx4LKu4qw,American (New),newamerican,2022-08-16 00:00:00
orqdI_NDAdHuLNAMLhHrIg,American (New),newamerican,2022-08-16 00:00:00
orqdI_NDAdHuLNAMLhHrIg,Bars,bars,2022-08-16 00:00:00
vHfJiTfxHdpDg2l6aT1R5g,Seafood,seafood,2022-08-16 00:00:00
vHfJiTfxHdpDg2l6aT1R5g,Sandwiches,sandwiches,2022-08-16 00:00:00
vHfJiTfxHdpDg2l6aT1R5g,Soup,soup,2022-08-16 00:00:00
p1TOF1XkXzLx3a-LF3lDlw,Seafood,seafood,2022-08-16 00:00:00
p1TOF1XkXzLx3a-LF3lDlw,Live/Raw Food,raw_food,2022-08-16 00:00:00
eMFDae6rv9ARp3t0xb6FPg,Korean,korean,2022-08-16 00:00:00
r2VHe6U8rfqo9xUFHLwwkg,Tapas/Small Plates,tapasmallplates,2022-08-16 00:00:00
r2VHe6U8rfqo9xUFHLwwkg,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
S5QjQOkBxtlX-rbrzgqOTA,Lounges,lounges,2022-08-16 00:00:00
S5QjQOkBxtlX-rbrzgqOTA,American (New),newamerican,2022-08-16 00:00:00
XoLfRZ0jA8cf_MYL90OgEA,Italian,italian,2022-08-16 00:00:00
ClAQfNyMp_EuTks0fz-KXg,Japanese,japanese,2022-08-16 00:00:00
ClAQfNyMp_EuTks0fz-KXg,Sushi Bars,sushi,2022-08-16 00:00:00
ClAQfNyMp_EuTks0fz-KXg,Poke,poke,2022-08-16 00:00:00
ElUusJtZDE4QL0cohv3-_w,American (New),newamerican,2022-08-16 00:00:00
ElUusJtZDE4QL0cohv3-_w,Breakfast & Brunch,breakfast_brunch,2022-08-16 00:00:00
ElUusJtZDE4QL0cohv3-_w,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
FbR3hCxZI8HPeukE7c-ZJA,Thai,thai,2022-08-16 00:00:00
FbR3hCxZI8HPeukE7c-ZJA,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
FbR3hCxZI8HPeukE7c-ZJA,Noodles,noodles,2022-08-16 00:00:00
EDkwD9ZxmPHjnZGAKYzLDw,Taiwanese,taiwanese,2022-08-16 00:00:00
EDkwD9ZxmPHjnZGAKYzLDw,Szechuan,szechuan,2022-08-16 00:00:00
yUWE1S7cYMFVp2PqCX5p8g,American (New),newamerican,2022-08-16 00:00:00
yUWE1S7cYMFVp2PqCX5p8g,Lounges,lounges,2022-08-16 00:00:00
yUWE1S7cYMFVp2PqCX5p8g,Pizza,pizza,2022-08-16 00:00:00
IsvlaFF0EPEhh3ahTuC4xg,Korean,korean,2022-08-16 00:00:00
IsvlaFF0EPEhh3ahTuC4xg,Hawaiian,hawaiian,2022-08-16 00:00:00
IsvlaFF0EPEhh3ahTuC4xg,Asian Fusion,asianfusion,2022-08-16 00:00:00
-Ym-Y_Pd_D7NbHrpEuDfBg,French,french,2022-08-16 00:00:00
-Ym-Y_Pd_D7NbHrpEuDfBg,Wine Bars,wine_bars,2022-08-16 00:00:00
-Ym-Y_Pd_D7NbHrpEuDfBg,Brasseries,brasseries,2022-08-16 00:00:00
m7_Q-ap4MmrYs2qc4X7PyQ,Ramen,ramen,2022-08-16 00:00:00
m7_Q-ap4MmrYs2qc4X7PyQ,Noodles,noodles,2022-08-16 00:00:00
Y-OgQKqreMaajTUCPbLPKg,Japanese,japanese,2022-08-16 00:00:00
Y-OgQKqreMaajTUCPbLPKg,Sushi Bars,sushi,2022-08-16 00:00:00
Y-OgQKqreMaajTUCPbLPKg,Seafood,seafood,2022-08-16 00:00:00
4nNopnnahgbaa6tOiYqCzg,Italian,italian,2022-08-16 00:00:00
Hu_9NcC3cmgKWI_h64TKRA,Sushi Bars,sushi,2022-08-16 00:00:00
Hu_9NcC3cmgKWI_h64TKRA,Japanese,japanese,2022-08-16 00:00:00
Hu_9NcC3cmgKWI_h64TKRA,Peruvian,peruvian,2022-08-16 00:00:00
NCDpIDp2f-DhPO5sL5Hbdw,Chinese,chinese,2022-08-16 00:00:00
NCDpIDp2f-DhPO5sL5Hbdw,Hot Pot,hotpot,2022-08-16 00:00:00
gSpIVqOJoXAu-dgsNH2jdw,Caribbean,caribbean,2022-08-16 00:00:00
gSpIVqOJoXAu-dgsNH2jdw,Cocktail Bars,cocktailbars,2022-08-16 00:00:00
gSpIVqOJoXAu-dgsNH2jdw,American (New),newamerican,2022-08-16 00:00:00
0v-RKxYMejB30CVDjU15_g,Bars,bars,2022-08-16 00:00:00
0v-RKxYMejB30CVDjU15_g,American (New),newamerican,2022-08-16 00:00:00
wDZLXV07dgigRc6XKWi1-g,American (New),newamerican,2022-08-16 00:00:00
nPVDL8Iu3ourycexssk9tA,Lounges,lounges,2022-08-16 00:00:00
nPVDL8Iu3ourycexssk9tA,Italian,italian,2022-08-16 00:00:00
ySKMvcI3ImApkkMkSjna9A,Chinese,chinese,2022-08-16 00:00:00
ySKMvcI3ImApkkMkSjna9A,Noodles,noodles,2022-08-16 00:00:00
ySKMvcI3ImApkkMkSjna9A,Soup,soup,2022-08-16 00:00:00
TDVo-jn5wKQynikZi8lXIA,Bars,bars,2022-08-16 00:00:00
TDVo-jn5wKQynikZi8lXIA,Cafes,cafes,2022-08-16 00:00:00
TDVo-jn5wKQynikZi8lXIA,Florists,florists,2022-08-16 00:00:00
